title,author,price,rating,number_of_ratings,product_url
Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Manhua) Vol. 1,Mo Xiang Tong Xiu,$27.33,4.46,517,https://www.bookdepository.com/Grandmaster-Demonic-Cultivation-Mo-Dao-Zu-Shi-Manhua-Vol-1-Mo-Xiang-Tong-Xiu/9781638585237
Icebreaker,Hannah Grace,$20.60,4.12,149636,https://www.bookdepository.com/Icebreaker-Hannah-Grace/9781398525689
The Psychology of Money,Morgan Housel,$25.65,4.38,103681,https://www.bookdepository.com/Psychology-Money-Morgan-Housel/9780857197689
Small Things Like These,Claire Keegan,$17.30,4.21,61952,https://www.bookdepository.com/Small-Things-Like-These-Claire-Keegan/9780571368709
Final Offer,Lauren Asher,$22.84,4.36,58207,https://www.bookdepository.com/Final-Offer-Lauren-Asher/9780349433479
Lessons in Chemistry,Bonnie Garmus,$21.52,4.36,411689,https://www.bookdepository.com/Lessons-Chemistry-Bonnie-Garmus/9781804990926
Things We Hide From The Light,Lucy Score,$21.68,4.27,39238,https://www.bookdepository.com/Things-We-Hide-From-Light-Lucy-Score/9781399713771
I'm a Fan,Sheena Patel,$17.78,3.77,1010,https://www.bookdepository.com/Im-Fan-Sheena-Patel/9781783789818
Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Manhua) Vol. 1,Mo Xiang Tong Xiu,$27.33,4.46,517,https://www.bookdepository.com/Grandmaster-Demonic-Cultivation-Mo-Dao-Zu-Shi-Manhua-Vol-1-Mo-Xiang-Tong-Xiu/9781638585237
I Don't Need Therapy,Toni Lodge,$36.37,4.5,118,https://www.bookdepository.com/I-Dont-Need-Therapy-Toni-Lodge/9781761067693
Cleopatra and Frankenstein,Coco Mellors,$23.35,3.94,28934,https://www.bookdepository.com/Cleopatra-Frankenstein-Coco-Mellors/9780008421793
Strange Sally Diamond,Liz Nugent,$33.93,4.55,711,https://www.bookdepository.com/Strange-Sally-Diamond-Liz-Nugent/9781844885961
Old Babes in the Wood,Margaret Atwood,$37.24,3.85,141,https://www.bookdepository.com/Old-Babes-Wood-Margaret-Atwood/9781784744854
Dirty Laundry,Richard Pink,$23.42,4.57,274,https://www.bookdepository.com/Dirty-Laundry-Richard-Pink/9781529915402
Strong Female Character,Fern Brady,$28.17,4.77,1287,https://www.bookdepository.com/Strong-Female-Character-Fern-Brady/9781914240447
Birnam Wood,Eleanor Catton,$35.69,3.98,438,https://www.bookdepository.com/Birnam-Wood-Eleanor-Catton/9781783784271
Feminism Against Progress,Mary Harrington,$30.26,4.42,12,https://www.bookdepository.com/Feminism-Against-Progress-Mary-Harrington/9781800752023
The Greatness Mindset,Lewis Howes,$35.32,4.93,58,https://www.bookdepository.com/Greatness-Mindset-Lewis-Howes/9781401971908
Why Women Grow,Alice Vincent,$32.74,4.08,13,https://www.bookdepository.com/Why-Women-Grow-Alice-Vincent/9781838855437
Time to Think,Hannah Barnes,$39.59,4.7,113,https://www.bookdepository.com/Time-Think-Hannah-Barnes/9781800751118
A Day of Fallen Night,Samantha Shannon,$45.79,4.6,443,https://www.bookdepository.com/Day-Fallen-Night-Samantha-Shannon/9781526619792
The Adventures of Amina Al-Sirafi,Shannon Chakraborty,$36.97,4.48,1390,https://www.bookdepository.com/Adventures-Amina-Al-Sirafi-Shannon-Chakraborty/9780062963505
